时间,下调
2019年6月11日,财联社6月11日讯，根据国家发改委消息，新一轮成品油调价窗口将于今天24时开启。汽油每吨下调465元、柴油每吨下调445元。全国平均来看：92号汽油每升下调0.37元、95号汽油每升下调0.39元、0号柴油每升下调0.38元。按一般家用汽车油箱50L容量估测，加满一箱92号汽油，将少花18.5元。本次调价是2019年国内成品油调价窗口出现的最大跌幅。
2019年6月25日,财联社6月25日讯，根据国家发改委消息，新一轮成品油调价窗口将于今天24时开启。记者从国家发改委获悉，本次油价调整具体情况如下：汽油每吨下调120元、柴油每吨下调115元。全国平均来看：92号汽油每升下调0.09元；95号汽油每升下调0.10元；0号柴油每升下调0.10元。按一般家用汽车油箱50L容量估测，加满一箱92号汽油，将少花4.5元。（央视财经）
2019年8月6日,下调
2019年10月21日,财联社10月21日讯，新一轮成品油调价窗口将于今天（10月21日）24时开启。记者从国家发改委获悉，汽油每吨下调150元、柴油每吨下调145元。全国平均来看：92号汽油每升下调0.12元；95号汽油每升下调0.12元；0号柴油每升下调0.12元。按一般家用汽车油箱50L容量估测，加满一箱92号汽油将节省大约6元。本次调价是2019年国内成品油调价窗口出现的第六次下调。（央视财经）
2020年2月4日,财联社2月4日讯，发改委公告，自2020年2月4日24时起，国内汽、柴油价格每吨分别降低420元和405元。全国平均来看：92号汽油每升下调0.33元；95号汽油每升下调0.35元；0号柴油每升下调0.35元。按一般家用汽车油箱50L容量估测，加满一箱92号汽油将少花16.5元。本次调价是2020年国内成品油调价窗口出现的首次大幅下调。
2020年2月18日,财联社2月18日讯，新一轮成品油调价窗口将于今天24时开启。本次油价调整具体情况如下：汽油每吨下调415元，柴油每吨下调400元。按一般家用汽车油箱50L容量估测，加满一箱92号汽油，将少花16.5元。本次调价是2020年国内成品油调价窗口出现的第二次下调。
2020年11月5日,财联社11月5日讯，根据国家发改委消息，新一轮成品油调价窗口将于11月5日24时开启。本次油价调整具体情况如下：汽油每吨下调160元，柴油每吨下调150元。全国平均来看：92号汽油每升下调0.13元；95号汽油每升下调0.13元；0号柴油每升下调0.13元。按一般家用汽车油箱50L容量估测，加满一箱92号汽油，将少花6.5元。本次调价是2020年国内成品油调价窗口出现的第五次下调。
2021年3月31日,自2021年3月31日24时起，国内汽、柴油价格（标准品，下同）每吨分别降低225元和220元。调
2021年7月26日,自2021年7月26日24时起，国内汽、柴油价格（标准品，下同）每吨分别降低100元和95元。
2021年8月23日,自2021年8月23日24时起，国内汽、柴油价格（标准品，下同）每吨分别降低250元和245元。
2021年11月19日,自2021年11月19日24时起，国内汽、柴油价格（标准品，下同）每吨分别降低95元和90元。
2021年12月3日,自2021年12月3日24时起，国内汽、柴油价格（标准品，下同）每吨分别降低430元和415元。
2021年12月17日,自2021年12月17日24时起，国内汽、柴油价格（标准品，下同）每吨分别降低130元和125元。
2022年4月15日,
2022年6月28日,
2022年7月12日,
2022年7月26日,
2022年8月9日,
2022年8月23日,
2022年9月21日,
2022年11月21日,
2022年12月5日,
2022年12月19日,
2023年1月17日,
2023年3月17日,
2023年3月31日,
2023年4月28日,
2023年5月16日,
2023年6月13日,
